,Original index,pm-Containers.drbqci,pm-Containers.pDCPBytesDL,pm-Containers.pDCPBytesUL,pm-Containers.pLMN-Identity,pm-Containers.interface-type,list-of-matched-UEs.ueId,timestamp
0,0,0.0,0.0,0.0,b'111',x2-u,b'00003',1700747079.8784492
1,1,0.0,0.0,0.0,b'111',x2-u,b'00005',1700747079.8784492
2,10,0.0,0.0,0.0,b'111',x2-u,b'00004',1700747079.9226832
3,11,0.0,0.0,0.0,b'111',x2-u,b'00007',1700747079.9226832
4,12,0.0,0.0,0.0,b'111',x2-u,b'00006',1700747079.9226832
5,13,0.0,0.0,0.0,b'111',x2-u,b'00009',1700747079.9226832
6,14,0.0,0.0,0.0,b'111',x2-u,b'00011',1700747079.9226832
7,35,0.0,0.0,0.0,b'111',x2-u,b'00001',1700747079.996102
8,36,0.0,0.0,0.0,b'111',x2-u,b'00010',1700747079.996102
9,37,0.0,0.0,0.0,b'111',x2-u,b'00002',1700747079.996102
10,38,0.0,0.0,0.0,b'111',x2-u,b'00012',1700747079.996102
11,55,0.0,0.0,0.0,b'111',x2-u,b'00007',1700747104.1615942
12,56,0.0,0.0,0.0,b'111',x2-u,b'00004',1700747104.1615942
13,57,0.0,0.0,0.0,b'111',x2-u,b'00009',1700747104.1615942
14,58,0.0,0.0,0.0,b'111',x2-u,b'00005',1700747104.1615942
15,59,0.0,0.0,0.0,b'111',x2-u,b'00006',1700747104.1615942
16,60,0.0,0.0,0.0,b'111',x2-u,b'00011',1700747104.1615942
17,61,0.0,0.0,0.0,b'111',x2-u,b'00010',1700747104.1789546
18,62,0.0,0.0,0.0,b'111',x2-u,b'00003',1700747104.1789546
19,63,0.0,0.0,0.0,b'111',x2-u,b'00001',1700747104.1789546
20,64,0.0,0.0,0.0,b'111',x2-u,b'00012',1700747104.1789546
21,65,0.0,0.0,0.0,b'111',x2-u,b'00002',1700747104.1789546
22,110,0.0,0.0,0.0,b'111',x2-u,b'00009',1700747132.461882
23,111,0.0,0.0,0.0,b'111',x2-u,b'00011',1700747132.461882
24,112,0.0,0.0,0.0,b'111',x2-u,b'00004',1700747132.461882
25,113,0.0,0.0,0.0,b'111',x2-u,b'00007',1700747132.461882
26,114,0.0,0.0,0.0,b'111',x2-u,b'00012',1700747132.461882
27,115,0.0,0.0,0.0,b'111',x2-u,b'00005',1700747132.461882
28,116,0.0,0.0,0.0,b'111',x2-u,b'00006',1700747132.461882
29,117,0.0,0.0,0.0,b'111',x2-u,b'00010',1700747132.4795372
30,118,0.0,0.0,0.0,b'111',x2-u,b'00002',1700747132.4795372
31,119,0.0,0.0,0.0,b'111',x2-u,b'00003',1700747132.4795372
32,120,0.0,0.0,0.0,b'111',x2-u,b'00001',1700747132.4795372
33,165,0.0,0.0,0.0,b'111',x2-u,b'00012',1700747160.817946
34,166,0.0,0.0,0.0,b'111',x2-u,b'00006',1700747160.817946
35,167,0.0,0.0,0.0,b'111',x2-u,b'00009',1700747160.817946
36,168,0.0,0.0,0.0,b'111',x2-u,b'00007',1700747160.817946
37,169,0.0,0.0,0.0,b'111',x2-u,b'00005',1700747160.817946
38,170,0.0,0.0,0.0,b'111',x2-u,b'00011',1700747160.817946
39,171,0.0,0.0,0.0,b'111',x2-u,b'00004',1700747160.817946
40,172,0.0,0.0,0.0,b'111',x2-u,b'00002',1700747160.836663
41,173,0.0,0.0,0.0,b'111',x2-u,b'00001',1700747160.836663
42,174,0.0,0.0,0.0,b'111',x2-u,b'00010',1700747160.836663
43,175,0.0,0.0,0.0,b'111',x2-u,b'00003',1700747160.836663
44,220,0.0,0.0,0.0,b'111',x2-u,b'00009',1700747189.139161
45,221,0.0,0.0,0.0,b'111',x2-u,b'00006',1700747189.139161
